Designator,Mid X,Mid Y,Rotation,Layer
A1,35.99,-131.3,180.0,top
NPN1_1,102.0,-74.0,270.0,top
NPN1_2,102.0,-90.54,270.0,top
NPN1_3,102.0,-112.27,270.0,top
NPN1_4,102.0,-131.0,270.0,top
NPN1_5,102.0,-152.54,270.0,top
NPN2_1,69.945,-73.54,90.0,top
NPN2_2,69.945,-90.54,90.0,top
NPN2_3,69.945,-111.0,90.0,top
NPN2_4,69.945,-131.0,90.0,top
NPN2_5,69.945,-153.54,90.0,top
PULLDOWN1_1,112.0,-75.0,270.0,top
PULLDOWN1_2,112.0,-90.54,270.0,top
PULLDOWN1_3,112.0,-112.81,270.0,top
PULLDOWN1_4,112.0,-131.0,270.0,top
PULLDOWN1_5,112.0,-152.08,270.0,top
PULLDOWN2_1,62.0,-73.81,90.0,top
PULLDOWN2_2,62.0,-91.81,90.0,top
PULLDOWN2_3,62.0,-110.81,90.0,top
PULLDOWN2_4,62.0,-131.19,90.0,top
PULLDOWN2_5,62.0,-153.0,90.0,top
R1,32.0,-52.0,270.0,top
R2,60.0,-181.81,270.0,top
R3,55.0,-181.81,270.0,top
U1,131.27,-184.27,90.0,top
